"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"5061";"671311";"Udumbanthala_";"1950";"0.00";NULL;"115";"Cement";"1000.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"259";"Boxes";"280.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"262";"Electrical_Conduits";"375.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"273";"Electrical_Conduit_Fittings";"200.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"310";"Distribution_Boards_and_Enclosures";"4.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"311";"Common_Consumables";"7.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"312";"Electrical_Consumables";"50.00"
"5062";"673012";"Parambil_";"2000";"0.00";NULL;"357";"Electrical_Wires";"12.00"
"5064";"680741";"Alathur(Thrissur)_";"1200";"0.00";NULL;"119";"Cement_Based_Bricks";"150.00"
"5065";"682024";"Edapally_";"1600";"0.00";NULL;"123";"Tiles_-_Vitrified";"6800.00"
"5065";"682024";"Edapally_";"1600";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"8.00"
"5067";"679333";"Vazhikkadavu_";"0";"0.00";NULL;"215";"Roofing_Sheets";"8733.00"
"5067";"679333";"Vazhikkadavu_";"0";"0.00";NULL;"217";"Roofing_Shingles";"3.00"
"5067";"679333";"Vazhikkadavu_";"0";"0.00";NULL;"311";"Common_Consumables";"1.00"
"5069";"676306";"Kakkad_";"0";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"1700.00"
"5069";"676306";"Kakkad_";"0";"0.00";NULL;"333";"Clay_and_Laterite_Bricks";"6500.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;NULL;"Miscellaneous";"40.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;"228";"PVC_and_Other_Pipes";"2802.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;"268";"Pipe_Fittings";"6372.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;"305";"Plumbing_Valves_and_Accessories";"40.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;"311";"Common_Consumables";"3941.00"
"5070";"682019";"Vyttila_";"5000";"0.00";NULL;"323";"Plumbing_Consumables";"149.00"
"5071";"670643";"Kuthuparamba_";"2000";"1500000.00";"Yet_to_start";"115";"Cement";"50.00"
"5071";"670643";"Kuthuparamba_";"2000";"1500000.00";"Yet_to_start";"116";"Rebars_and_Binding_Wires";"1.00"
"5071";"670643";"Kuthuparamba_";"2000";"1500000.00";"Yet_to_start";"117";"Sand_and_Fine_Aggregates";"100.00"
"5071";"670643";"Kuthuparamba_";"2000";"1500000.00";"Yet_to_start";"262";"Electrical_Conduits";"50.00"
"5072";"673601";"Chathamangalam_";"2300";"0.00";NULL;NULL;"Miscellaneous";"4950.00"
"5072";"673601";"Chathamangalam_";"2300";"0.00";NULL;"119";"Cement_Based_Bricks";"4950.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;NULL;"Miscellaneous";"7.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"103.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"228";"PVC_and_Other_Pipes";"86.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"48.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"259";"Boxes";"33.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"268";"Pipe_Fittings";"115.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"305";"Plumbing_Valves_and_Accessories";"2.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"308";"Valves";"2.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"309";"MCBs_and_Other_Protection_Devices";"12.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"310";"Distribution_Boards_and_Enclosures";"1.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"311";"Common_Consumables";"61.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"312";"Electrical_Consumables";"20.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"322";"Bells";"1.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"323";"Plumbing_Consumables";"21.00"
"5073";"673306";"Edakulam__Koyilandi_";"2000";"0.00";NULL;"357";"Electrical_Wires";"14.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"244.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"106.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"259";"Boxes";"1.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"309";"MCBs_and_Other_Protection_Devices";"39.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"312";"Electrical_Consumables";"15.00"
"5074";"682032";"Thammanam_";"3000";"0.00";NULL;"357";"Electrical_Wires";"1.00"
