pincode,area,subcat_name,SUM(ed.qty)
695581,4500,Switchgear,15
695581,4500,ElectricalWiresandcables,10
695581,4500,PipeFittings,2
695581,4500,RoofingSheets,10
695581,4500,PlumbingConsumables,3
695581,4500,Tiles-Vitrified,20
695607,2000,Tiles-Vitrified,1400
695607,2000,TataSteel,142
695607,2000,GranitesandMarbles,150
695607,2000,Cement,1200
695607,2000,KitchenSinks,3
695607,2000,CeramicWallTiles,1800
695607,2000,Steel,7500
695607,2000,CoarseAggregatesandBoulders,1600
695607,2000,WashBasinsandPedestals,6
695017,1000,ExteriorPaintsandDistempers,2
695017,1000,InteriorPaintsandDistempers,1
670307,2000,RoofingSheets,24
670307,2000,RoofingTilesandShingles,5
670307,2000,OtherRoofingMaterials,1002
670307,2000,NULL,1012
670307,2000,,2111
695001,39000,Tiles-Vitrified,26100
695001,39000,Tiles-Ceramic,3800
695001,39000,WallTiles,2700
673631,15000,Cement,100
695011,39000,Tiles-Vitrified,26100
695011,39000,Tiles-Ceramic,3800
695011,39000,WallTiles,2700
695014,39000,,67400
670307,2500,PipeFittings,300
670307,2500,Pumps,3
670307,2500,PVCandOtherPipes,237
670307,2500,WaterTanksandStorage,3
670307,2500,PlumbingConsumables,348
670307,2500,Valves,2
670307,2500,Faucets,4
670307,2500,WashBasinsandPedestals,3
670307,2500,OtherBathroomFittings,5
670307,2500,Showers,2
676303,2300,PipeFittings,706
676303,2300,PlumbingConsumables,489
676303,2300,PVCandOtherPipes,549
676303,2300,Valves,18
695013,20000,Cement,11000
695013,20000,Steel,13000
695013,20000,SandandFineAggregates,10000
695013,20000,CoarseAggregatesandBoulders,1000
676303,2000,Valves,18
676303,2000,PipeFittings,706
676303,2000,PVCandOtherPipes,549
676303,2000,PlumbingConsumables,489
695581,2500,Switchgear,176
695581,2500,NULL,211
695581,2500,ElectricalConsumables,684
673571,2500,CoverPlatesandMountingFrames,46
673571,2500,ElectricalConsumables,16
673571,2500,Switchgear,27
676505,2500,ElectricalWiresandcables,13
695582,1200,WashBasinsandPedestals,5
695582,1200,OtherChemicals,5
695582,1200,RoofingTilesandShingles,367
695582,1200,Tiles-Ceramic,500
695582,1200,Tiles-Outdoor,10
695582,1200,Hob,1
695582,1200,ElectricalWiresandcables,45
695582,1200,Mirrors,1
695582,1200,Chimney,1
671531,2300,WashBasinsandPedestals,4
671531,2300,ShowerCabinsandotherCabinets,6
670307,2500,NULL,11829
695003,2500,ElectricalConsumables,52
671531,2800,WashBasinsandPedestals,8
671531,2800,ShowerCabinsandotherCabinets,12
673005,2500,Boxes,12
673005,2500,ElectricalWiresandcables,13
673005,2500,ElectricalConduits,120
673005,2500,ElectricalConduitFittings,205
673005,2500,ElectricalConsumables,512
680121,2500,,482
695028,1400,Tiles-Vitrified,1720
695013,2500,Switchgear,53
695013,2500,ElectricalConsumables,92
695013,2500,ElectricalWiresandcables,28
695013,2500,CoverPlatesandMountingFrames,125
695013,2500,Boxes,19
695581,2500,,600
673010,2500,,210004
695029,3000,CoverPlatesandMountingFrames,2886
695029,3000,Switchgear,1326
695029,3000,ElectricalConsumables,52
695029,3000,Boxes,1911
686102,2000,RoofingTilesandShingles,1
686102,2000,Tiles-Ceramic,109
680682,3500,,992
695582,2000,CoverPlatesandMountingFrames,83
695582,2000,Boxes,7
673632,2500,NULL,2500
689544,2350,Cement,550
689544,2350,Steel,2000
689544,2350,SandandFineAggregates,1000
689544,2350,CoarseAggregatesandBoulders,2000
695582,55234,Cement,23456
695582,55234,Lamps,34
682001,2500,NULL,3
695582,1200,Fans,25
695607,2500,Tiles-Outdoor,1000
695607,2500,Cement,6
695607,2500,Steel,6
695607,2500,Tiles-Vitrified,10000
673637,40000,Steel,2000
691310,1500,Cement,600
691310,1500,,4100
691310,1600,Tiles-Ceramic,600
691310,1600,Fans,4
691310,1600,RoofingTilesandShingles,800
691310,1600,Cement,600
691310,1600,,6300
695582,2000,ElectricalConsumables,22
695582,2000,ElectricalWiresandcables,2
689646,2000,,500
673632,2500,,2
673632,2500,KitchenTaps,4
673632,2500,WashBasinsandPedestals,3
691001,2500,WashBasinsandPedestals,2
673010,2500,NULL,194000
695582,1000,Lamps,5
695582,1000,Tiles-Vitrified,200
695582,1000,Tiles-Ceramic,200
695582,1000,PVCandOtherPipes,21
680682,2500,Switchgear,2
680682,2500,CoverPlatesandMountingFrames,20
680682,2500,ElectricalConsumables,15
680682,2500,Lamps,1
695029,2500,,66000
673631,2500,WashBasinsandPedestals,3
673631,2500,,1
695584,2500,PVCandOtherPipes,700
670141,2500,,75
695582,2500,,1
695011,1500,Cement,10000
695011,1500,SandandFineAggregates,10000
695582,3000,Lamps,17
695582,3000,,5
689692,2500,CoverPlatesandMountingFrames,35
689692,2500,Switchgear,19
689692,2500,ElectricalWiresandcables,24
689692,2500,ElectricalConsumables,31
673001,2500,Accessories,200
673001,20000,SandandFineAggregates,183079
673001,20000,SandandFineAggregates,36000
673001,20000,CoarseAggregatesandBoulders,27000
673001,20000,Steel,176810
673001,20000,Cement,14678
673001,18000,Steel,82980
673001,18000,Steel,156693
673001,18000,SandandFineAggregates,32400
673001,18000,CoarseAggregatesandBoulders,24300
673001,18000,Cement,18648
673001,10000,Cement,9000
673001,10000,RebarsandBindingWires,20000
673001,10000,RebarsandBindingWires,20000
673001,10000,SandandFineAggregates,36000
673001,10000,CoarseAggregatesandBoulders,13500
673001,25000,Steel,111000
673001,25000,Cement,40000
673001,25000,SandandFineAggregates,212657
673001,9000,Steel,48405
673001,9000,SandandFineAggregates,7343
673001,9000,CoarseAggregatesandBoulders,4170
673001,9000,Cement,12600
670307,10000,Steel,27500
670307,10000,SandandFineAggregates,1500
670307,10000,CoarseAggregatesandBoulders,3000
670307,10000,Cement,2250
682306,2000,SandandFineAggregates,180
682306,2000,Cement,5000
682306,2000,Steel,10000
673001,100000,Cement,1100
673001,100000,Steel,1
695582,2000,Mirrors,25
695582,2000,WallandRoofPaints,500
695582,2000,Tiles-Vitrified,2719.37
695582,2000,Cement,350
695582,2000,SandandFineAggregates,1500
695582,2000,PVCandOtherPipes,272
695582,2000,Fans,10
695582,2000,PipeFittings,1419
695583,10,Faucets,1
670307,6000,Cement,3000
670307,6000,Steel,20000
695582,2500,Mirrors,10
695582,2500,Switchgear,10
695582,2500,PipeFittings,30
695582,2500,Fans,10
695582,2500,Faucets,11
695582,2500,Lamps,25
695582,2500,WallandRoofPaints,10
695582,2500,Showers,10
695582,2500,Tiles-Vitrified,171
679561,500,RoofingSheets,100
679561,500,Fans,6
679561,500,Lamps,10
679561,500,WashBasinsandPedestals,1
679561,500,Tiles-Vitrified,500
679561,500,,500
673636,58000,Cement,100
682030,1500,ElectricalConsumables,192
682030,1500,Switchgear,67
682030,1500,CoverPlatesandMountingFrames,129
682030,1500,ElectricalWiresandcables,208
673001,10000,Cement,100
685588,123,Faucets,1
686580,7,Lamps,6
673004,2000,Steel,6000
673004,2000,SandandFineAggregates,240
673004,2000,CoarseAggregatesandBoulders,200
673004,2000,Cement,200
695006,4000,CoarseAggregatesandBoulders,5400
